id,sentiment
33527,0
23058,0
21058,0
31732,0
17285,0
42827,0
21696,0
28275,0
39743,0
24092,0
7314,0
9374,0
39753,0
1651,0
3890,0
33080,0
3794,0
27132,0
3412,0
44014,0
1137,0
12132,0
8704,0
17178,0
35534,0
9215,0
11200,0
18979,0
18845,0
4283,0
15591,0
22466,0
28479,0
19809,0
10867,0
9365,0
21056,0
21586,0
1673,0
27972,0
13539,0
2585,0
14597,0
19720,0
22554,0
44556,0
27872,0
49402,0
688,0
19420,0
37042,0
17137,0
41927,0
46778,0
36917,0
16205,0
35380,0
28825,0
3562,0
936,0
13277,0
1114,0
14248,0
29204,0
33141,0
25004,0
12052,0
47029,0
26618,0
18947,0
11502,0
43241,0
25825,0
15229,0
46999,0
27404,0
17937,0
37928,0
35276,0
35873,0
28741,0
19096,0
15813,0
36232,0
15569,0
9460,0
32393,0
58,0
46199,0
28957,0
48973,0
6726,0
8716,0
3160,0
7880,0
23993,0
12558,0
5713,0
38082,0
35284,0
33476,0
32215,0
5678,0
19347,0
15546,0
37595,0
35455,0
43089,0
18286,0
35283,0
35831,0
7677,0
23660,0
24924,0
30020,0
23428,0
8296,0
2271,0
20972,0
41246,0
22137,0
3583,0
6421,0
2425,0
42480,0
2404,0
22056,0
20667,0
45462,0
28584,0
28029,0
24383,0
6671,0
29507,0
36369,0
3568,0
12033,0
38071,0
33225,0
10665,0
739,0
34879,0
33061,0
32147,0
14215,0
13855,0
20966,0
39519,0
2623,0
15881,0
17548,0
18168,0
19058,0
10328,0
32087,0
9903,0
38818,0
49023,0
11981,0
15013,0
44167,0
5124,0
40127,0
27827,0
24643,0
41515,0
21320,0
882,0
41543,0
49339,0
6238,0
12028,0
26886,0
8537,0
10670,0
18225,0
12634,0
41371,0
26631,0
27360,0
12230,0
17461,0
4682,0
30829,0
32964,0
20450,0
20413,0
41487,0
47542,0
4488,0
49028,0
18819,0
35913,0
22679,0
17596,0
37375,0
20485,0
39977,0
15759,0
43411,0
14867,0
24132,0
46884,0
22753,0
28883,0
19588,0
37816,0
22715,0
29779,0
17365,0
49972,0
16658,0
43042,0
10425,0
11234,0
34471,0
4088,0
34318,0
17936,0
43866,0
12577,0
20864,0
26027,0
37795,0
17714,0
35191,0
31915,0
33017,0
9798,0
41867,0
7111,0
27141,0
11274,0
13724,0
25180,0
31529,0
41748,0
23679,0
27675,0
2565,0
11339,0
26819,0
1895,0
20474,0
8913,0
7866,0
40138,0
39934,0
25712,0
23112,0
9982,0
27034,0
